Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.090234 | segment id: 4 | term: "Research Corporation of the University of Hawaiʻi" | text: "If there are temporary technical glitches during your turn to testify via Zoom, we may have to move on to the next person due to time constraints."
score: 0.090203 | segment id: 45 | term: "304a" | text: "So it depends on how large this pilot would be."
score: 0.090186 | segment id: 46 | term: "302a-431" | text: "How long would it take to have those funds repaid to HHSDC?"
score: 0.090167 | segment id: 44 | term: "Aloha Stadium" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.090166 | segment id: 77 | term: "Center on Nursing Advisory Board" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.090144 | segment id: 82 | term: "John A. Burns School of Medicine" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.090119 | segment id: 73 | term: "community college" | text: "Can you please identify yourself?"
score: 0.090047 | segment id: 49 | term: "university" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.090047 | segment id: 42 | term: "Western Interstate Commission for Higher Education" | text: "How much money is needed for this measure?"
score: 0.089998 | segment id: 81 | term: "State Departments" | text: "So it should be more than $7,000 to have an impact."
score: 0.089936 | segment id: 18 | term: "university" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.089833 | segment id: 27 | term: "Education Commission of the States" | text: "Okay, I just have a question for HHFDC."
score: 0.089831 | segment id: 54 | term: "Center on Nursing Advisory Board" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.089794 | segment id: 23 | term: "Career and Technical Education" | text: "Thank you very much."
score: 0.089794 | segment id: 59 | term: "Career and Technical Education" | text: "Thank you very much."
score: 0.089794 | segment id: 128 | term: "Career and Technical Education" | text: "Thank you very much."
score: 0.089788 | segment id: 74 | term: "487n" | text: "Hi, my name is Eliza."
score: 0.089777 | segment id: 11 | term: "Early Learning Board" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.089760 | segment id: 70 | term: "Career and Technical Education" | text: "If not, members, any questions?"
score: 0.089752 | segment id: 79 | term: "Red Hill" | text: "However, if we look at the Roth IRA, the maximum deduction is $7,000."
score: 0.089732 | segment id: 13 | term: "Career and Technical Education" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.089595 | segment id: 129 | term: "university" | text: "There being no further business, this hearing is adjourned."
score: 0.089563 | segment id: 104 | term: "Early Learning Board" | text: "Senator Fevella is excused."
score: 0.089451 | segment id: 62 | term: "Athletic" | text: "Our first testifier is Department of Taxation with comments."
score: 0.089414 | segment id: 78 | term: "John A. Burns School of Medicine" | text: "That would be a policy question."
score: 0.089359 | segment id: 82 | term: "Center on Nursing Advisory Board" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.089329 | segment id: 11 | term: "Tuition" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.089310 | segment id: 105 | term: "Underground Storage Tanks" | text: "Chair recommendation is adopted."
score: 0.089277 | segment id: 107 | term: "Cancer Center" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.089248 | segment id: 5 | term: "Mauna Kea" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.089206 | segment id: 6 | term: "Red Hill" | text: "Our first bill today is HB 1428, relating to housing, which appropriates funds for HHFDC to allocate to housing counseling agencies certified by the U.S. Department of Housing and Urban Development to"
score: 0.089189 | segment id: 82 | term: "College" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.089152 | segment id: 80 | term: "Candidate Advisory Council" | text: "And a Roth IRA can be used for a first home buyer, for a purchase of a first home."
score: 0.089072 | segment id: 73 | term: "Education Commission of the States" | text: "Can you please identify yourself?"
score: 0.089025 | segment id: 110 | term: "Cancer Center" | text: "Members, any discussion?"
score: 0.089002 | segment id: 49 | term: "Early Learning Board" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.088971 | segment id: 93 | term: "John A. Burns School of Medicine" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.088963 | segment id: 92 | term: "Mauna Kea" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.088956 | segment id: 127 | term: "university" | text: "Without others voting aye, recommendation's adopted."
score: 0.088947 | segment id: 121 | term: "Mauna Kea" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.088941 | segment id: 81 | term: "Mauna Kea" | text: "So it should be more than $7,000 to have an impact."
score: 0.088904 | segment id: 68 | term: "university" | text: "Andrew Crossland, Judy Ilar, Luella Vidinha, Chanara K. Richmond, Glenn Cogomita, Jacob Wiencek, and also Susan Wattis in opposition."
score: 0.088899 | segment id: 43 | term: "community college" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.088825 | segment id: 38 | term: "304a" | text: "Next we have County of Hawaii Office of Housing and Community Development in support, Kohala Community Land Trust in support, Council for Native Hawaiian Advancement in support, Maui Chamber of Commer"
score: 0.088772 | segment id: 90 | term: "Aloha Stadium" | text: "We'll go straight into decision-making."
score: 0.088766 | segment id: 98 | term: "Tuition" | text: "Chair votes aye."
score: 0.088766 | segment id: 100 | term: "Tuition" | text: "Chair votes aye."
score: 0.088766 | segment id: 112 | term: "Tuition" | text: "Chair votes aye."
score: 0.088766 | segment id: 114 | term: "Tuition" | text: "Chair votes aye."
score: 0.088766 | segment id: 122 | term: "Tuition" | text: "Chair votes aye."
score: 0.088766 | segment id: 124 | term: "Tuition" | text: "Chair votes aye."
score: 0.088763 | segment id: 44 | term: "Post-Secondary Education Commission" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.088726 | segment id: 23 | term: "Hawaiʻi Medical Education Council" | text: "Thank you very much."
score: 0.088726 | segment id: 59 | term: "Hawaiʻi Medical Education Council" | text: "Thank you very much."
score: 0.088726 | segment id: 128 | term: "Hawaiʻi Medical Education Council" | text: "Thank you very much."
score: 0.088714 | segment id: 115 | term: "Aloha Stadium" | text: "Any members voting with reservations?"
score: 0.088714 | segment id: 125 | term: "Aloha Stadium" | text: "Any members voting with reservations?"
score: 0.088703 | segment id: 55 | term: "university" | text: "Yes, and it would be for, we anticipate, interim financing."
score: 0.088560 | segment id: 77 | term: "university" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.088524 | segment id: 90 | term: "John A. Burns School of Medicine" | text: "We'll go straight into decision-making."
score: 0.088523 | segment id: 104 | term: "Research Corporation of the University of Hawaiʻi" | text: "Senator Fevella is excused."
score: 0.088517 | segment id: 30 | term: "Red Hill" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
score: 0.088366 | segment id: 45 | term: "Research Corporation of the University of Hawaiʻi" | text: "So it depends on how large this pilot would be."
score: 0.088318 | segment id: 83 | term: "Candidate Advisory Council" | text: "Because the federal tax burden would be bigger."
score: 0.088302 | segment id: 49 | term: "Hawaiʻi Medical Education Council" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.088302 | segment id: 65 | term: "Career and Technical Education" | text: "Not present on Zoom, Chair."
score: 0.088179 | segment id: 117 | term: "Career and Technical Education" | text: "Without others voting aye, recommendation is adopted."
score: 0.088167 | segment id: 78 | term: "487n" | text: "That would be a policy question."
score: 0.088162 | segment id: 117 | term: "community college" | text: "Without others voting aye, recommendation is adopted."
score: 0.088131 | segment id: 74 | term: "Tuition" | text: "Hi, my name is Eliza."
score: 0.088110 | segment id: 26 | term: "Cancer Center" | text: "Are there any questions?"
score: 0.088100 | segment id: 90 | term: "Cancer Center" | text: "We'll go straight into decision-making."
score: 0.087975 | segment id: 74 | term: "304a" | text: "Hi, my name is Eliza."
score: 0.087948 | segment id: 30 | term: "College" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
